Date,Open,High,Low,Close,Volume,,
2017-07-28,25.1,25.5,24,25.45,34935,,
2017-07-27,25.2,25.8,25,25.1,20971,,
2017-07-26,25.25,26,25.2,25.95,17613,,
2017-07-25,24.1,26,24.1,25.4,23247,,
2017-07-24,24.5,25.45,24.5,25.3,7577,,
2017-07-21,25.05,26,25,25.15,23726,,
2017-07-20,26,26,25.05,25.55,10899,,
2017-07-19,24.5,25.7,24,25.5,17433,,
2017-07-18,25.1,25.2,24.55,24.75,9878,,
2017-07-17,24.5,25.9,24.5,25.2,19067,,
2017-07-14,25.5,26.3,24.9,25,18997,,
2017-07-13,27.5,27.5,25.8,26.15,13502,,
2017-07-12,26.6,27.25,26.2,26.4,14860,,
2017-07-11,27.5,27.95,26.65,26.8,26708,,
2017-07-10,27.2,27.65,27.05,27.4,24273,,
2017-07-07,26.5,27.5,25.6,26.95,54020,,
2017-07-06,25.55,26.5,25.55,26.5,11146,,
2017-07-05,25.5,26.5,25.5,26.1,15089,,
2017-07-04,25,25.9,25,25.55,32038,,
2017-07-03,24.9,25.3,24.9,25.3,13089,,
2017-06-30,24.75,25.35,24.75,25.15,7625,,
2017-06-29,24.55,25.4,24.55,25.1,5497,,
2017-06-28,25,25.7,25,25.35,29046,,
2017-06-27,25.55,26.6,25.05,25.4,16409,,
2017-06-26,26.05,26.05,26.05,26.05,0,,
2017-06-23,27.7,28,26,26.05,10076,,
2017-06-22,27.7,27.7,26.5,27.35,86154,,
2017-06-21,26.7,26.7,26.6,26.7,20481,,
2017-06-20,24.95,25.45,24.95,25.45,5875,,
2017-06-19,23.1,24.25,23.1,24.25,16248,,
2017-06-16,23.65,23.65,23,23.1,39028,,
2017-06-15,25.15,25.15,23.7,23.95,35409,,
2017-06-14,24.6,25.2,24.55,24.9,16234,,
2017-06-13,25.2,25.8,24.7,24.9,14556,,
2017-06-12,25.5,25.65,25,25.1,13519,,
2017-06-09,25.6,26.55,25.5,25.6,5734,,
2017-06-08,26.05,26.5,25.4,25.8,40489,,
2017-06-07,27,27,26.1,26.7,24812,,
2017-06-06,26.9,27.3,25.8,27.1,22448,,
2017-06-05,26,26.9,25.75,26.75,15283,,
2017-06-02,25.9,26.2,25,26.15,18684,,
2017-06-01,25.75,25.8,24.85,25.4,19935,,
2017-05-31,26.5,26.5,25.6,25.75,32710,,
2017-05-30,26.5,27,25.6,26.35,53571,,
2017-05-29,27,27.4,26.45,26.9,21410,,
2017-05-26,28.8,28.85,26.5,27.8,28383,,
2017-05-25,27.75,28.35,26.4,27.75,17430,,
2017-05-24,26.75,27.5,26.65,27.2,7760,,
2017-05-23,26.1,27.9,26.1,27.4,29681,,
2017-05-22,27.55,28.45,26.4,27.45,45716,,
2017-05-19,28.5,28.5,27.6,27.75,16982,,
2017-05-18,28.6,29,27.75,28,20849,,
2017-05-17,28.55,29.8,28.5,28.55,8855,,
2017-05-16,28.8,29.75,28.7,29,18965,,
2017-05-15,29.4,29.4,27.95,29.1,18754,,
2017-05-12,29,29.8,28,28.6,25182,,
2017-05-11,27.4,29.8,27.4,29.2,14496,,
2017-05-10,29.05,29.05,27.6,28.8,97199,,
2017-05-09,29.5,29.65,29,29.05,32701,,
2017-05-08,29.55,30.5,29.25,29.65,12098,,
2017-05-05,29.8,30,29.2,29.45,19431,,
2017-05-04,30,30.85,29.6,30,24228,,
2017-05-03,30.9,31.6,30,30.05,12738,,
2017-05-02,29.8,30.8,29.4,30.1,25143,,
2017-05-01,30.2,30.2,30.2,30.2,0,,
2017-04-28,30.05,31,29.9,30.2,20718,,
2017-04-27,31,31.55,30.2,30.85,22206,,
2017-04-26,30.1,32,29.8,31.75,88119,,
2017-04-25,30,32,30,30.5,22851,,
2017-04-24,30.55,31.5,30.45,30.65,33548,,
2017-04-21,31.05,31.8,30.6,31.05,20520,,
2017-04-20,30.55,31.85,30.55,30.9,34355,,
2017-04-19,31,31.95,30.6,31,11628,,
2017-04-18,32.3,32.3,31,32,52886,,
2017-04-17,31.35,32.5,31,32.25,59838,,
2017-04-14,31.15,31.15,31.15,31.15,0,,
2017-04-13,29.9,31.35,29.4,31.15,86220,,
2017-04-12,29.8,30.25,29.75,29.9,13578,,
2017-04-11,29.7,30.75,29.3,29.95,9196,,
2017-04-10,30.3,31,29.75,30,15069,,
2017-04-07,29.95,31.1,29.5,30.45,30139,,
2017-04-06,30,30,29.3,29.95,39149,,
2017-04-05,28.3,30.5,28.3,30.3,22500,,
2017-04-04,29.55,29.55,29.55,29.55,0,,
2017-04-03,29.15,30.3,28.7,29.55,25080,,
2017-03-31,29.75,29.95,28.75,28.95,20088,,
2017-03-30,28.75,29.5,28.75,29.3,13249,,
2017-03-29,28.85,29.65,28.5,28.75,26973,,
2017-03-28,29.25,29.7,28.5,28.85,122394,,
2017-03-27,29,30,28.5,28.85,80934,,
2017-03-24,29.35,29.8,29,29.7,21400,,
2017-03-23,29.55,30.35,29.4,29.65,13902,,
2017-03-22,29.8,30.25,29.25,29.5,11569,,
2017-03-21,30,30.8,29.75,29.95,21392,,
2017-03-20,29.5,30.75,29.5,29.95,24308,,
2017-03-17,29.95,30.7,29.4,30.1,47587,,
2017-03-16,29.5,29.9,28.35,29.7,24753,,
2017-03-15,28.75,29.25,28.7,28.85,33526,,
2017-03-14,30.1,30.1,28.95,29.2,29551,,
2017-03-13,29.45,29.45,29.45,29.45,0,,
2017-03-10,29.2,29.8,28.5,29.45,19066,,
2017-03-09,29.5,30.45,29.05,29.4,42091,,
2017-03-08,30,30.8,29.7,30.15,31433,,
2017-03-07,30.45,30.5,29.75,29.85,17155,,
2017-03-06,30,30.95,29.65,30,25646,,
2017-03-03,30.5,30.65,30.05,30.45,19918,,
2017-03-02,31,31.4,30.5,30.8,24625,,
2017-03-01,30.8,31.55,30.65,31.2,33110,,
2017-02-28,31.1,31.4,30.6,30.85,18630,,
2017-02-27,31.1,32.75,31,31.55,39813,,
2017-02-24,31.45,31.45,31.45,31.45,0,,
2017-02-23,31.4,32.3,31.2,31.45,18116,,
2017-02-22,32.8,32.8,31.3,31.9,19083,,
2017-02-21,33,33.65,31.6,31.9,15524,,
2017-02-20,31.95,32.9,31,32.05,24847,,
2017-02-17,31,31.65,30.25,31.65,15402,,
2017-02-16,31,31.4,29.9,30.15,29768,,
2017-02-15,32,32.5,30.55,30.8,56477,,
2017-02-14,33.5,33.75,31.8,32.1,21523,,
2017-02-13,33.2,33.2,32.1,32.75,34207,,
2017-02-10,34.5,34.5,33.25,33.4,26156,,
2017-02-09,33.5,34.7,33.5,33.7,28866,,
2017-02-08,33.85,34.35,33.6,34.2,17232,,
2017-02-07,34.5,34.5,33.6,34.15,10113,,
2017-02-06,35,35,33.3,34.15,43575,,
